slug,question,side,entry_price,stake_usd,p_claude,confidence,edge_bps,opened_at,end_date,status,resolution_outcome,pnl_usd,closed_at
highest-temperature-in-paris-on-april-24-2026-23c,Will the highest temperature in Paris be 23°C on April 24?,YES,0.3,200.0,0.55,3,2850,2026-04-23T22:34:29.433558+00:00,2026-04-24T12:00:00Z,CLOSED,YES,466.66666666666674,2026-04-25T06:42:21.753922+00:00
highest-temperature-in-lucknow-on-april-24-2026-43c,Will the highest temperature in Lucknow be 43°C on April 24?,YES,0.28,200.0,0.55,3,2850,2026-04-23T22:34:29.433562+00:00,2026-04-24T12:00:00Z,CLOSED,NO,-200.0,2026-04-25T06:42:23.427942+00:00
highest-temperature-in-munich-on-april-24-2026-19c,Will the highest temperature in Munich be 19°C on April 24?,YES,0.27,200.0,0.55,3,2850,2026-04-23T22:34:29.433566+00:00,2026-04-24T12:00:00Z,CLOSED,NO,-200.0,2026-04-25T06:42:25.145460+00:00
highest-temperature-in-shanghai-on-april-25-2026-21c,Will the highest temperature in Shanghai be 21°C on April 25?,YES,0.34,200.0,0.55,3,2850,2026-04-24T09:53:32.150595+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-hong-kong-on-april-25-2026-26c,Will the highest temperature in Hong Kong be 26°C on April 25?,YES,0.32,200.0,0.55,3,2850,2026-04-24T09:53:32.150611+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-london-on-april-25-2026-20c,Will the highest temperature in London be 20°C on April 25?,YES,0.36,200.0,0.55,3,2850,2026-04-24T09:53:32.150617+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-chicago-on-april-25-2026-58-59f,Will the highest temperature in Chicago be between 58-59°F on April 25?,YES,0.33,200.0,0.55,3,2850,2026-04-24T09:53:32.150621+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-hong-kong-on-april-25-2026-25c,Will the highest temperature in Hong Kong be 25°C on April 25?,YES,0.38,200.0,0.55,3,2850,2026-04-24T09:53:32.150625+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-london-on-april-25-2026-21c,Will the highest temperature in London be 21°C on April 25?,YES,0.32,200.0,0.55,3,2850,2026-04-24T09:53:32.150629+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-singapore-on-april-25-2026-33c,Will the highest temperature in Singapore be 33°C on April 25?,YES,0.31,200.0,0.55,3,2850,2026-04-24T09:53:32.150633+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-london-on-april-25-2026-19c,Will the highest temperature in London be 19°C on April 25?,YES,0.24,200.0,0.55,3,2850,2026-04-24T09:53:32.150636+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-singapore-on-april-25-2026-32c,Will the highest temperature in Singapore be 32°C on April 25?,YES,0.37,200.0,0.55,3,2850,2026-04-24T09:53:32.150640+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-seoul-on-april-25-2026-20c,Will the highest temperature in Seoul be 20°C on April 25?,YES,0.12,100.0,0.55,2,1900,2026-04-24T09:53:32.150643+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-singapore-on-april-25-2026-34c,Will the highest temperature in Singapore be 34°C on April 25?,YES,0.15,100.0,0.55,2,1900,2026-04-24T09:53:32.150649+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-beijing-on-april-25-2026-26c,Will the highest temperature in Beijing be 26°C on April 25?,YES,0.14,100.0,0.55,2,1900,2026-04-24T09:53:32.150652+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
highest-temperature-in-madrid-on-april-25-2026-22c,Will the highest temperature in Madrid be 22°C on April 25?,YES,0.11,100.0,0.55,2,1900,2026-04-24T09:53:32.150656+00:00,2026-04-25T12:00:00Z,OPEN,,0.0,
will-the-devil-wears-prada-2-opening-weekend-box-office-be-less-than-70m,"Will ""The Devil Wears Prada 2"" Opening Weekend Box Office be less than 70m?",YES,0.053,200.0,0.55,3,10000,2026-04-24T10:55:19.597004+00:00,2026-05-04T12:00:00Z,OPEN,,0.0,
atp-shelton-prizmic-2026-04-24,Madrid Open: Ben Shelton vs Dino Prizmic,NO,0.6799999999999999,100.0,0.45,2,1200,2026-04-24T11:37:11.404230+00:00,2026-05-01T09:00:00Z,CLOSED,NO,47.05882352941177,2026-04-25T06:42:38.992783+00:00
wta-cirstea-grant-2026-04-24,Madrid Open: Sorana Cirstea vs Tyra Caterina Grant,NO,0.73,100.0,0.45,2,1200,2026-04-24T11:37:11.404245+00:00,2026-05-01T09:00:00Z,CLOSED,YES,-100.0,2026-04-25T06:42:40.701853+00:00
wta-sonmez-bucsa-2026-04-24,Madrid Open: Zeynep Sonmez vs Cristina Bucsa,NO,0.72,100.0,0.45,2,1200,2026-04-24T11:37:11.404252+00:00,2026-05-01T09:00:00Z,CLOSED,YES,-100.0,2026-04-25T06:42:42.398937+00:00
bun-dor-fre-2026-04-26-total-2pt5,BV Borussia 09 Dortmund vs. SC Freiburg: O/U 2.5,NO,0.62,100.0,0.45,2,1200,2026-04-24T11:37:11.404256+00:00,2026-04-26T15:30:00Z,OPEN,,0.0,
fl1-olm-ogc-2026-04-26-olm,Will Olympique de Marseille win on 2026-04-26?,NO,0.64,100.0,0.45,2,1200,2026-04-24T11:37:11.404260+00:00,2026-04-26T18:45:00Z,OPEN,,0.0,
ucl-psg1-bay1-2026-04-28-btts,Paris Saint-Germain FC vs. FC Bayern München: Both Teams to Score,NO,0.71,100.0,0.45,2,1200,2026-04-24T11:37:11.404264+00:00,2026-04-28T19:00:00Z,OPEN,,0.0,
atp-fonseca-cilic-2026-04-24,Madrid Open: Joao Fonseca vs Marin Cilic,NO,0.77,100.0,0.45,2,1200,2026-04-24T11:37:11.404267+00:00,2026-05-01T09:00:00Z,CLOSED,NO,29.87012987012986,2026-04-25T06:42:46.552096+00:00
will-cooper-flagg-win-the-202526-nba-rookie-of-the-year-award,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,NO,0.6639999999999999,100.0,0.45,2,1200,2026-04-24T11:38:47.605048+00:00,2026-05-18T00:00:00Z,OPEN,,0.0,
nba-okc-phx-2026-04-25,Thunder vs. Suns,NO,0.78,100.0,0.45,2,1200,2026-04-24T11:38:47.605067+00:00,2026-04-25T19:30:00Z,OPEN,,0.0,
will-san-antonio-spurs-advance-to-the-conference-semifinals-in-the-2026-nba-playoffs,Will San Antonio Spurs advance to the Conference Semifinals in the 2026 NBA Playoffs?,NO,0.786,100.0,0.45,2,1200,2026-04-24T11:38:47.605072+00:00,2026-05-03T00:00:00Z,OPEN,,0.0,
nba-playoffs-who-will-win-series-pistons-vs-magic,NBA Playoffs: Who Will Win Series? - Pistons vs. Magic ,NO,0.72,100.0,0.45,2,1200,2026-04-24T11:38:47.605079+00:00,2026-05-04T00:00:00Z,OPEN,,0.0,
nba-sas-por-2026-04-26,Spurs vs. Trail Blazers,NO,0.5900000000000001,100.0,0.45,2,1200,2026-04-24T11:38:47.605083+00:00,2026-04-26T19:30:00Z,OPEN,,0.0,
nhl-playoffs-who-will-win-series-sabres-vs-bruins,NHL Playoffs: Who Will Win Series? - Sabres vs. Bruins ,NO,0.74,100.0,0.45,2,1200,2026-04-24T11:38:47.605087+00:00,2026-05-04T00:00:00Z,OPEN,,0.0,
will-detroit-pistons-advance-to-the-conference-semifinals-in-the-2026-nba-playoffs,Will Detroit Pistons advance to the Conference Semifinals in the 2026 NBA Playoffs?,NO,0.69,100.0,0.45,2,1200,2026-04-24T11:38:47.605091+00:00,2026-05-03T00:00:00Z,OPEN,,0.0,
will-buffalo-sabres-advance-to-round-2-of-the-2026-nhl-playoffs,Will Buffalo Sabres advance to Round 2 of the 2026 NHL Playoffs?,NO,0.69,100.0,0.45,2,1200,2026-04-24T11:38:47.605094+00:00,2026-05-05T00:00:00Z,OPEN,,0.0,
will-tampa-bay-lightning-advance-to-round-2-of-the-2026-nhl-playoffs,Will Tampa Bay Lightning advance to Round 2 of the 2026 NHL Playoffs?,NO,0.5900000000000001,100.0,0.45,2,1200,2026-04-24T11:38:47.605098+00:00,2026-05-05T00:00:00Z,OPEN,,0.0,
nba-cle-tor-2026-04-26,Cavaliers vs. Raptors,NO,0.6,100.0,0.45,2,1200,2026-04-25T06:43:17.945010+00:00,2026-04-26T17:00:00Z,OPEN,,0.0,
atp-fokina-busta-2026-04-25,Madrid Open: Alejandro Davidovich Fokina vs Pablo Carreno Busta,NO,0.6599999999999999,200.0,0.45,3,2200,2026-04-25T06:43:17.945027+00:00,2026-05-02T09:00:00Z,OPEN,,0.0,
atp-cerundo-hanfman-2026-04-25,Madrid Open: Francisco Cerundolo vs Yannick Hanfmann,NO,0.71,200.0,0.45,3,2200,2026-04-25T06:43:17.945033+00:00,2026-05-02T09:00:00Z,OPEN,,0.0,
atp-skatov-fomin-2026-04-25,Shymkent: Timofey Skatov vs Sergey Fomin,NO,0.77,200.0,0.45,3,2200,2026-04-25T06:43:17.945037+00:00,2026-05-02T10:00:00Z,OPEN,,0.0,
bun-stu-wer-2026-04-26-stu,Will VfB Stuttgart win on 2026-04-26?,NO,0.62,100.0,0.45,2,1000,2026-04-25T06:43:17.945044+00:00,2026-04-26T13:30:00Z,OPEN,,0.0,
atp-bublik-tsitsip-2026-04-24,Madrid Open: Alexander Bublik vs Stefanos Tsitsipas,NO,0.61,100.0,0.45,2,1000,2026-04-25T06:43:17.945048+00:00,2026-05-01T08:00:00Z,OPEN,,0.0,
wta-bencic-shnaide-2026-04-25,Madrid Open: Belinda Bencic vs Diana Shnaider,NO,0.6,100.0,0.45,2,1000,2026-04-25T06:43:17.945052+00:00,2026-05-02T09:00:00Z,OPEN,,0.0,
will-michael-opening-weekend-box-office-be-greater-than-100m,"Will ""Michael"" Opening Weekend Box Office be greater than 100m?",YES,0.097,50.0,0.55,2,10000,2026-04-25T06:43:17.945056+00:00,2026-04-27T00:00:00Z,OPEN,,0.0,
